0,11.855
1000,12.315
2000,16.768
3000,27.858
4000,32.526
5000,55.867
6000,153.339
7000,158.403
8000,153.385
9000,145.531
10000,213.697
11000,271.352
12000,323.500
13000,361.141
14000,393.673
15000,429.173
16000,458.146
17000,486.203
18000,468.439
19000,491.500
20000,506.647
21000,521.083
22000,536.112
23000,520.151
24000,533.135
25000,549.313
26000,551.037
27000,562.273
28000,567.070
29000,576.023
30000,586.597
31000,590.671
32000,606.915
33000,622.073
34000,628.464
35000,637.209
36000,708.310
37000,754.142
38000,802.285
39000,840.906
40000,849.355
41000,854.523
42000,864.235
43000,864.318
44000,869.937
45000,870.020
46000,871.678
47000,875.579
48000,876.364
49000,876.639
50000,876.661
51000,874.534
52000,875.265
53000,878.343
54000,875.667
55000,874.255
56000,879.542
57000,874.534
58000,875.563
59000,873.654
60000,876.542
61000,874.754
62000,875.156
63000,878.004
64000,875.690
65000,874.045
66000,879.613
67000,874.545
68000,875.341
69000,876.645
70000,874.349
71000,875.153
72000,878.144
73000,874.341
74000,873.634
75000,875.341
